instance,n,m,chains,best_cut,hits_at_best,best_chain,best_t0,kernel_s,wall_s,t0s,seeds,phases,iters
G60,7000,17148,80,14187,1,50,70.0,864.6283,865.6723,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","2955857184,4067929219,3800343328,1177576326,266310705,2004796989,651367994,3969113140,1968007092,2367696767,3063801187,1118836204,3676436100,1773424550,3607313878,2483858637,1808414729,429782576,3803588015,1291855860,3739809124,4092624422,1377394423,2249038524,1291558060,3021170666,3539706250,1118771284,1720427436,480662609,2075688430,3866105703,2336691674,1030789827,2510798899,3774874802,1500517821,3860711419,3860235090,3956578611,696440392,2822460278,865119121,1408722753,2010091505,563494292,2855849177,3845957638,4276755036,1026097029,4067947382,2545283020,1004358540,192452324,2517931043,1244996687,1679745320,2378480326,3127693551,2099635742,3800450352,3789845261,2611532313,2598628649,965938129,2367219523,3240074474,1102828075,1704224439,2512772808,1303014649,539967586,1287225204,4148091277,1239538154,2023350621,2856486787,1373933415,1260709096,2617933595","128,64,32,16,8,4,2,1","10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000"
G61,7000,17148,80,5798,1,23,400.0,864.9976,866.0911,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","775074483,1615163414,774252761,3251725792,270857860,1545885665,1650752807,3039425874,961914486,2626177567,896528683,1989273361,696666520,2011486068,2861691820,837663360,131520928,2198777408,3984749128,2095190004,610445608,175132223,889128732,1817669388,2583353332,4074790019,4042764643,2657475740,4038181597,2267242225,2088808644,40396813,1703837457,2842063508,2393096168,4241316012,3188338128,3545189414,1681047861,3519380667,85925456,2376941262,1028707535,2619996206,1672992321,2201168251,2211656041,1319653923,843285992,540324543,1513414624,329005411,3510859546,3966896443,1536954365,2809076137,1475902191,365249627,2716367573,4121565439,2922101925,1143427317,1011789752,263145220,4230977317,928529667,4154630685,2397105869,2107155121,1430164909,1563105560,2122730202,3753915270,4112463357,240392420,3025372455,3581115689,2007294155,4004916489,626291686","128,64,32,16,8,4,2,1","10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000"
G62,7000,14000,80,4860,2,30,280.0,791.4343,792.4580,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","4247410429,1771247888,3063994111,3783110094,2213746567,3014042298,3057634017,3743161535,1104100886,4157145997,2830613263,291979968,430221272,1012997304,709418927,2626954773,2243607179,252504431,226699330,2884619065,1749580153,4090889082,3751679112,2009298712,3014468948,1976847221,3847987209,3254991907,3139578550,2595081519,1432542095,3576906100,2241084891,617183583,563827129,3491026245,1487925083,2385834670,1653306424,415629748,1936746290,2603136145,1632537191,1853654644,1578747385,2552114601,1122507283,882705834,755480659,2617826837,187317722,1452552104,3027576563,1733131345,1293983827,3453588666,4160580558,2546019408,104020666,489012272,1292510751,2320980040,344037142,230227668,1543601141,4261871752,3671654493,3958989221,1163173368,2442642497,3505268651,3002357081,3506286328,2876904588,2917452733,4214873098,4091234598,532986569,1953185080,4011226333","128,64,32,16,8,4,2,1","10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000"
G63,7000,41459,80,27032,1,66,70.0,902.8531,903.9787,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","1723141447,2069704063,3048907954,1598788350,470746193,1873746379,1461387451,1887060403,4088214502,2537219438,4215807977,3745155588,1161209093,2430284138,129580413,3375145509,197140140,2009355269,2913067469,3043914064,3663926146,1560274852,3256390949,2611951970,2717290765,2797657913,3520905920,4234734813,2686745349,2245789163,2300548875,2682229350,2419529145,450390344,466989324,7071703,3693735435,2557670719,1887581474,3544164732,1370596888,3844286947,3547735856,3746787800,1418836660,3882148700,1290999240,407123865,2253507417,3995865002,2903034678,251864039,3622618509,20391326,2690254188,1011071042,2483063990,964545637,2074130208,383494418,2403645155,3816350182,1815631959,2212704951,3705287790,4101955599,1540879073,2492478039,7653525,3340333956,352851028,513048035,1027046194,2872538817,298285475,238420453,933577648,2521638486,3270491088,1257131886","128,64,32,16,8,4,2,1","10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000"
G64,7000,41459,80,8742,1,41,50.0,900.3867,901.5047,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","3235498118,2069252354,3024962271,4079797268,2911110372,1055929426,2377437963,3212732021,1726673285,2450231741,4072944977,2274857399,816492924,4256115815,2456915292,3003067342,3934408187,4191864756,561700017,1574609153,1291111719,1124068876,2644669436,343917078,428604547,1228164224,3226696249,1839729740,2534033666,637366131,3005417723,809695894,3968589087,1644596206,1364416778,4286551059,1305737639,1305129252,1036251298,2554001788,2591971511,1228935629,4206161322,442217621,1759765315,4250544519,2191189400,4037830753,2193368847,2349775873,1948789297,1924036159,3927916345,1396571106,910018216,752989519,2678324740,1406174257,288691063,4013634646,3981180204,1662796049,2631737007,2336370138,2698846114,4203941372,591112720,299395528,3898793204,2140557836,2534781792,2840968867,3132608724,4181795378,2997732050,3233442586,3916863342,1536323843,529350200,2978411443","128,64,32,16,8,4,2,1","10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000"
G65,8000,16000,80,5544,1,54,280.0,810.8072,811.8287,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","265005633,3702983054,2765442718,3956462474,4075663862,3719100520,3299972561,3735226,3843798135,3113932561,1514617096,1851919257,1852045297,2119460027,3332818321,2171261499,2085551188,2160216776,750011386,3643290498,390766884,1638638208,2820868928,1188252770,1580579510,3821947239,1657265882,3310418675,4147378593,924161636,3592957456,2261193952,2244145801,3901594885,47031804,2617098597,3621083084,4169178238,1618150559,1107488250,1943731349,584333259,3164544588,604648006,3884037736,2413743179,2701072602,403015200,921551990,3900699494,5393643,595086351,2854475310,2877881494,3673965160,3836113672,2746251303,3395439037,3204233592,2121482187,1265157866,1790777201,927129571,3279466953,3423466557,518636327,3939208225,2106618386,3421252369,371942289,4066094483,3311498055,393878346,3948999077,1383897460,1265069327,2676906911,2395370329,3898015816,3108168010","128,64,32,16,8,4,2,1","10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000"
G66,9000,18000,80,6346,1,63,400.0,884.3664,885.4350,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","2655199429,3029470101,1440145668,2262912323,471891888,1193954216,2660413821,3596551846,1568197482,2496434190,503948415,2350546711,2256397315,4089267902,2727465015,1016758835,753410474,2142992284,3346280503,913020418,4077092480,1773315092,1395124621,631117926,400389175,2549710673,196403747,558893870,500167612,1135918049,2725724741,208174557,3703087561,1160879274,3024760764,598064303,2199046310,2509178355,1700354785,3609622303,440880281,1438238935,1128297398,1394250216,2637650601,375759652,3231288884,3108254429,2029494711,2213941657,505172293,4234468351,478101511,2423700676,2017367827,1742670415,2249676516,278650333,3434604598,2220657620,3776791084,1573973148,1421850353,2841915387,2680353905,1485628351,2862490651,3622536208,1038097921,269516601,3196478750,2434076870,594234977,1738301587,2859965449,1377356754,114091819,3597888584,1103764519,4268114170","128,64,32,16,8,4,2,1","10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000"
G67,10000,20000,80,6928,1,15,400.0,901.7656,902.8161,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","3529266490,1802673053,1629604815,1648977880,3227899713,1688507838,2200738463,1811258169,1792066250,3065747812,61423509,1178649078,659472866,3454722041,1684380978,3937593442,3065487475,1063197639,3074057976,2473643917,1788879316,258856905,2950402394,2096202718,2512234277,1963877701,444890512,1176699550,882272994,2070124824,1000763615,788914156,3833419622,3285835462,953172876,2034496008,2667521516,2878421844,3406717918,3203381340,383864337,379662170,2336851521,490051590,510423302,4086767224,4009091530,340618818,3524071764,2161060918,131055473,4062889114,1572447338,744499930,742475513,371050461,2501536817,2480015353,749201013,1738882081,3658489887,3092753894,2636038633,3393905943,49524548,3771301088,314774145,890791092,2237196250,1240143142,1081351458,837566781,1606487263,517759826,2200055326,3329191312,3401602128,2287675326,4038516315,2728669693","128,64,32,16,8,4,2,1","10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000"
G70,10000,9999,80,9593,1,35,100.0,876.0382,877.0705,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","1668002534,4251630541,1287240187,3135990078,3347570853,4287442712,1047919758,4093684448,100893523,1880655886,2471474522,2133576766,2761377767,463441356,4156331096,1276322834,856780136,230592127,2284686352,3283472502,3647609088,3904728396,3144322836,3291718889,3080463230,2714580468,1186070675,2301837269,3124784213,59943701,4106667869,2683315870,1298442890,2996274686,907527452,894130334,160986324,3413389726,1551487754,2825614680,3783865483,3949106385,2666548891,3930642391,1570738380,3373399306,95313915,577192069,1180135291,1143368375,1024113150,1692496292,2908240954,1463841200,4121121267,1106412152,534584482,3997945995,3927879016,1388532641,4220465956,2965850675,1504043474,2278364663,4136471266,3167132442,2251061821,3462167346,957066510,798395477,4014106942,658141460,2059673411,606026022,2112154548,3027586023,2721851303,1336911824,2524327149,666671208","128,64,32,16,8,4,2,1","10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000"
G72,10000,20000,80,6988,1,58,70.0,902.1556,903.2166,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","3454767967,1188886561,823833422,2720313348,1476274613,669204894,2028332787,3590503552,1759712670,1202684319,3485189727,1048322374,1361535817,956963565,3067353783,3527211312,3196078993,3093389008,647352131,3298249729,2505193620,434756993,1218312808,1672224123,791592497,3255188295,1477459627,857308585,2044537078,514361685,4140325933,969290971,2590094305,3818098102,1550011918,3150855314,3168715151,470938538,2431951318,847426294,2744676504,4098268690,3173847955,301374343,834972336,2449332501,2956886278,40426088,3700191578,4049230980,2618348520,3172263969,4086156124,130292809,2715065249,3829666785,2722107538,4164203420,3270614957,772396650,118113560,2004141918,2347276936,1661806253,1608885391,2145257106,4136763585,838923077,3546586929,2014414386,3571330603,3520543532,2966231627,323346870,3591566877,2280773576,887444591,519039871,1965825368,3349916941","128,64,32,16,8,4,2,1","10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000"
